震度計番号,震度観測点名称,緯度,経度,震度,最大加速度NS[cm/s/s],最大加速度EW[cm/s/s],最大加速度UD[cm/s/s],最大加速度3成分合成[cm/s/s],最大速度NS[cm/s],最大速度EW[cm/s],最大速度UD[cm/s],最大速度3成分合成[cm/s],最大変位NS[cm],最大変位EW[cm],最大変位UD[cm],最大変位3成分合成[cm],地域名称,観測点所在地,緯度(度),緯度(分),経度(度),経度(分),観測開始(yyyymmddhhmm),観測終了(yyyymmddhhmm)
47265,小田原市久野,35.2665,139.085,2,8.123,7.7,4.611,9.256,1.17,0.78,0.742,1.296,0.42,0.275,0.22,0.468,神奈川県西部,小田原市久野4870-105,35,16.0,139,5.1,199407151200,
41329,糸魚川市一の宮,37.0388,137.8633,2,2.755,3.54,1.937,3.956,0.782,0.656,0.485,0.796,0.311,0.33,0.17,0.338,新潟県上越,糸魚川市一の宮1-2-5（糸魚川市役所）,37,2.3,137,51.8,199604011200,
47612,上越市大手町,37.1068,138.2469,3,7.794,9.258,2.385,9.991,1.349,1.135,0.462,1.632,0.466,0.425,0.223,0.551,新潟県上越,上越市大手町9-15（高田特別地域気象観測所）,37,6.4,138,14.8,201410291200,
47255,魚沼市下折立,37.2086,139.0566,2,8.842,6.477,4.153,9.791,0.846,0.661,0.426,0.944,0.226,0.18,0.235,0.281,新潟県中越,魚沼市下折立33-1,37,12.5,139,3.4,201603291200,
47250,粟島浦村笹畑,38.4591,139.2467,2,4.702,4.72,7.714,8.637,0.563,0.804,0.701,1.001,0.237,0.478,0.388,0.636,新潟県下越,岩船郡粟島浦村字笹畑756-3,38,27.5,139,14.8,199407151200,
47252,阿賀野市畑江,37.8212,139.3142,2,8.055,6.042,5.587,8.566,1.197,0.885,1.211,1.802,0.489,0.385,0.623,0.804,新潟県下越,阿賀野市畑江23（五頭連峰少年自然の家）,37,49.3,139,18.9,199407151200,
47251,佐渡市相川金山,38.0401,138.2577,1,1.803,1.51,1.576,1.908,0.225,0.425,0.328,0.452,0.117,0.237,0.172,0.268,新潟県佐渡,佐渡市相川宗徳町1-1,38,2.4,138,15.5,199407151200,
47602,佐渡市相川三町目,38.0295,138.24,2,3.53,3.826,1.731,4.482,0.403,0.573,0.362,0.577,0.142,0.205,0.149,0.257,新潟県佐渡,佐渡市相川三町目新浜町3-3（相川特別地域気象観測所）,38,1.8,138,14.4,200709211800,
41331,魚津市釈迦堂,36.8265,137.4092,1,1.194,0.864,0.838,1.291,0.45,0.371,0.24,0.519,0.254,0.216,0.122,0.32,富山県東部,魚津市釈迦堂1-1001（市役所前公園）,36,49.6,137,24.6,199604011200,
42320,富山朝日町道下,36.9461,137.5596,1,1.705,2.094,0.919,2.128,0.39,0.385,0.391,0.495,0.263,0.172,0.185,0.327,富山県東部,下新川郡朝日町道下1133（朝日町役場）,36,56.8,137,33.6,199604011200,
42321,富山市八尾町福島,36.5855,137.1399,1,1.8,1.567,1.075,2.065,0.63,0.384,0.347,0.656,0.37,0.226,0.159,0.393,富山県東部,富山市八尾町福島151（八尾行政サービスセンター）,36,35.1,137,8.4,199604011200,
47272,立山町吉峰,36.6082,137.3304,1,1.547,1.184,0.965,1.594,0.378,0.336,0.212,0.418,0.192,0.18,0.12,0.204,富山県東部,中新川郡立山町大字吉峰野開字吉峰6-1（富山県農林水産総合技術センター森林研究所）,36,36.5,137,19.8,199407151200,
47607,富山市石坂,36.7096,137.2024,1,2.127,1.595,0.946,2.259,0.818,0.552,0.296,0.881,0.402,0.24,0.169,0.444,富山県東部,富山市石坂2415（富山地方気象台）,36,42.6,137,12.1,193301      ,
41332,小矢部市泉町,36.6725,136.8738,1,1.572,1.848,0.856,2.104,0.557,0.737,0.301,0.945,0.321,0.38,0.202,0.47,富山県西部,小矢部市泉町645（小矢部市立屋内スポーツセンター）,36,40.3,136,52.4,200304011200,
42322,南砺市天池,36.5383,136.884,1,1.332,1.015,0.719,1.46,0.337,0.331,0.26,0.374,0.2,0.168,0.108,0.204,富山県西部,南砺市天池99（砺波地域消防組合南砺消防署）,36,32.3,136,53.0,201503181200,
47606,高岡市伏木,36.7923,137.056,1,1.306,1.248,0.678,1.359,0.555,0.429,0.215,0.557,0.274,0.236,0.119,0.277,富山県西部,高岡市伏木古国府12-5（伏木特別地域気象観測所）,36,47.5,137,3.4,1886        ,
41333,七尾市本府中町,37.0327,136.9698,1,1.734,2.51,0.75,2.723,0.435,0.44,0.145,0.47,0.172,0.127,0.067,0.174,石川県能登,七尾市本府中町ヲ部38（七尾サンライフプラザ）,37,2.0,136,58.2,199604011200,
42325,能登町宇出津,37.3109,137.1473,2,3.267,3.765,0.636,3.802,0.566,0.496,0.233,0.598,0.21,0.143,0.104,0.213,石川県能登,鳳珠郡能登町字宇出津ト字50-1（能登町役場）,37,18.7,137,8.8,201912241200,
47600,輪島市鳳至町,37.3912,136.8952,2,5.059,4.861,1.615,6.325,0.825,0.96,0.263,0.971,0.234,0.228,0.103,0.234,石川県能登,輪島市鳳至町畠田99-3（輪島特別地域気象観測所）,37,23.5,136,53.7,201902201200,
42323,津幡町加賀爪,36.6691,136.7284,1,1.045,1.173,0.752,1.207,0.386,0.49,0.251,0.51,0.244,0.282,0.133,0.305,石川県加賀,河北郡津幡町加賀爪二-3（津幡町役場）,36,40.1,136,43.7,199604011200,
47605,金沢市西念,36.5892,136.6341,1,1.413,1.583,0.72,1.812,0.551,0.718,0.334,0.718,0.398,0.391,0.174,0.446,石川県加賀,金沢市西念3-4-1（金沢地方気象台）,36,35.4,136,38.0,1887        ,
47616,福井市豊島,36.0557,136.2226,1,1.807,2.168,0.463,2.193,0.445,0.325,0.218,0.445,0.144,0.127,0.101,0.148,福井県嶺北,福井市豊島2-5-2（福井地方気象台）,36,3.3,136,13.4,1887        ,
42327,高浜町宮崎,35.4881,135.5495,1,1.345,1.875,0.575,1.895,0.191,0.232,0.128,0.236,0.102,0.054,0.058,0.105,福井県嶺南,大飯郡高浜町宮崎75-12-1（高浜町立高浜小学校）,35,29.3,135,33.0,201001051200,
47631,敦賀市松栄町,35.6537,136.0623,2,1.997,1.94,0.457,2.424,0.386,0.275,0.157,0.459,0.181,0.093,0.089,0.202,福井県嶺南,敦賀市松栄町7-28（敦賀特別地域気象観測所）,35,39.2,136,3.7,18971001    ,
47268,身延町大磯小磯,35.5009,138.5414,3,9.744,13.971,5.126,15.482,1.296,1.26,0.722,1.422,0.359,0.369,0.227,0.463,山梨県中・西部,南巨摩郡身延町大磯小磯3656,35,30.1,138,32.5,199407151200,
